date,platform,extraction_run,official_dau,model_dau,interval_id
2024-06-28,STEAM,2,134761.7,100081.07008625018,1
2024-07-01,STEAM,2,129741.0,96469.97852513002,2
2024-07-02,STEAM,2,133067.7,95039.28749961728,2
2024-07-06,STEAM,2,139721.0,88910.0582621376,2
2024-07-08,STEAM,2,139721.0,86880.93479214463,2
2024-07-12,STEAM,2,141070.8,83629.18844879759,2
2024-07-14,STEAM,2,151320.6,82267.14834561656,2
2024-07-17,STEAM,2,153027.7,80454.34104102463,2
2024-07-18,STEAM,2,153027.7,79900.59752158378,2
2024-07-19,STEAM,2,151580.2,79368.67293588948,2
2024-07-21,STEAM,2,126414.3,78363.78735011857,2
2024-07-22,STEAM,2,126414.3,77888.04490715491,2
2024-07-24,STEAM,2,152933.7,76984.10891795256,2
2024-07-31,STEAM,2,156354.4,85269.72950761,2
2024-08-05,STEAM,2,146374.4,79521.21084459644,2
2024-08-09,STEAM,2,154498.3,140302.39270131176,2
2024-08-10,STEAM,2,191531.3,140958.64664367575,2
2024-08-12,STEAM,2,184531.4,135561.79047423997,2
2024-08-16,STEAM,2,136394.4,114808.10058305765,2
2024-08-18,STEAM,2,153027.7,108837.00626439098,2
2024-08-24,STEAM,2,156354.4,128553.96354897364,2
2024-08-29,STEAM,2,146374.4,113676.34668002972,2
2024-09-03,STEAM,2,141427.7,103596.01094847026,2
2024-09-04,STEAM,2,140598.7,102188.824107314,2
2024-09-13,STEAM,2,166334.4,116819.11080776244,2
2024-09-14,STEAM,2,169661.1,114377.2929970266,2
2024-09-19,STEAM,2,136394.4,105864.20892466998,2
2024-09-20,STEAM,2,136394.4,104580.20822029651,2
2024-09-22,STEAM,2,129741.0,102267.46456263294,2
2024-09-23,STEAM,2,129741.0,101217.31796346161,2
2024-10-08,STEAM,2,129741.0,114197.44186094418,2
2024-10-12,STEAM,2,146374.4,147941.7431426728,2
2024-10-28,STEAM,2,169661.1,184557.3493136793,2
2024-10-30,STEAM,2,139721.0,173779.2134674022,2
2024-11-09,STEAM,2,143047.7,134746.20578472776,2
2024-11-10,STEAM,2,143047.7,132856.10343954657,2
2024-11-12,STEAM,2,143047.7,129436.98483259985,2
2024-11-13,STEAM,2,144585.1,127880.92091967011,2
2024-11-15,STEAM,2,146374.4,150731.35462782998,2
2024-11-19,STEAM,2,168072.6,143137.99398691775,2
2024-11-21,STEAM,2,170008.8,136109.2694066717,2
2024-11-22,STEAM,2,153027.7,133578.31753140705,2
2024-12-04,STEAM,2,174736.0,151503.91794871556,2
2024-12-07,STEAM,2,166334.4,144181.44180066767,2
2024-12-08,STEAM,2,169661.1,142143.60856321242,2
2024-12-10,STEAM,2,168787.4,138496.82170587734,2
2024-12-11,STEAM,2,169661.1,136850.6751059051,2
2024-12-13,STEAM,2,176314.5,175773.75105503233,2
2024-12-17,STEAM,2,163007.8,166260.63166410773,2
2024-12-18,STEAM,2,186294.5,162879.4639573436,2
2024-12-20,STEAM,2,204071.3,152514.37172348017,2
2024-12-21,STEAM,2,209581.2,149600.67776304705,2
2024-12-26,STEAM,2,203674.5,180251.76507528304,2
2024-12-30,STEAM,2,209581.2,177593.3857639783,2
2025-01-01,STEAM,2,212789.5,170224.78934944706,3
2025-01-02,STEAM,2,214810.3,162721.80744197068,3
2025-01-03,STEAM,2,186294.5,158871.25253029304,3
2025-01-06,STEAM,2,213044.8,150583.32782199932,3
2025-01-09,STEAM,2,184617.6,209627.99741500488,3
2025-01-21,STEAM,2,189621.2,166705.29242155695,3
2025-01-22,STEAM,2,209581.2,164038.36187038347,3
2025-01-23,STEAM,2,207934.1,214558.04132394146,3
2025-01-31,STEAM,2,226214.6,186082.20901559232,3
2025-02-01,STEAM,2,199601.2,181965.3126190615,3
2025-02-04,STEAM,2,216234.6,172463.63313565863,3
2025-02-07,STEAM,2,196274.5,244768.27103673446,3
2025-02-08,STEAM,2,201086.7,244194.36872152062,3
2025-02-10,STEAM,2,206222.6,234890.19790124608,3
2025-02-11,STEAM,2,200979.2,229033.9648384496,3
2025-02-13,STEAM,2,196274.5,210784.41039925447,3
2025-02-14,STEAM,2,196274.5,204607.33046273162,3
2025-02-15,STEAM,2,219823.3,199600.86657749186,3
2025-02-17,STEAM,2,189621.2,191569.5705107279,3
2025-02-20,STEAM,2,189621.2,218513.7910324423,3
2025-02-23,STEAM,2,186294.5,215949.21064185648,3
2025-02-24,STEAM,2,181187.6,212017.39874450618,3
2025-02-26,STEAM,2,211790.2,203856.03942231945,3
2025-02-28,STEAM,2,246174.7,241362.4350930606,3
2025-03-02,STEAM,2,244001.9,242528.32131446004,3
2025-03-03,STEAM,2,212894.3,238373.52254159725,3
2025-03-05,STEAM,2,209581.2,228155.84157404167,3
2025-03-06,STEAM,2,248054.4,223039.33992633206,3
2025-03-08,STEAM,2,247361.0,229456.17647497958,3
2025-03-09,STEAM,2,228528.0,228022.70081322166,3
