date,platform,extraction_run,official_dau,model_dau,interval_id,model_dau_scaled
2024-06-25,TOTAL,1,239521.3,93760.47036459326,1,183469.09136508487
2024-06-28,TOTAL,1,231204.6,100081.07008625018,1,195837.14672258782
2024-07-01,TOTAL,1,222887.9,96469.97852513002,2,188771.01656156604
2024-07-02,TOTAL,1,229541.3,95039.28749961728,2,185971.46168034256
2024-07-03,TOTAL,1,226214.6,93650.02135980003,2,183252.96639821137
2024-07-05,TOTAL,1,222887.9,90091.04443405347,2,176288.81337917317
2024-07-06,TOTAL,1,226214.6,88910.0582621376,2,173977.8772348302
2024-07-08,TOTAL,1,212907.9,86880.93479214463,2,170007.31866297644
2024-07-09,TOTAL,1,211244.6,85985.2248137587,2,168254.606723477
2024-07-11,TOTAL,1,211244.6,84367.29993982508,2,165088.67543747454
2024-07-12,TOTAL,1,209581.2,83629.18844879759,2,163644.3498697982
2024-07-14,TOTAL,1,229541.3,82267.14834561656,2,160979.13009048492
2024-07-15,TOTAL,1,217897.9,81635.22941329767,2,159742.60053940534
2024-07-17,TOTAL,1,207917.9,80454.34104102463,2,157431.85576794625
2024-07-18,TOTAL,1,241184.6,79900.59752158378,2,156348.29869996166
2024-07-19,TOTAL,1,227877.9,79368.67293588948,2,155307.43659642705
2024-07-21,TOTAL,1,216234.6,78363.78735011857,2,153341.09145512877
2024-07-22,TOTAL,1,221224.6,77888.04490715491,2,152410.16573136757
2024-07-24,TOTAL,1,227877.9,76984.10891795256,2,150641.3572564713
2024-07-25,TOTAL,1,232868.0,88107.17699937345,2,172406.8111428984
2024-07-27,TOTAL,1,229541.3,89093.5932406334,2,174337.01574605348
2024-07-28,TOTAL,1,234531.3,88365.7432859799,2,172912.76979985542
2024-07-30,TOTAL,1,237858.0,86333.72638871608,2,168936.54941263053
2024-07-31,TOTAL,1,242848.0,85269.72950761,2,166854.53616938708
2024-08-02,TOTAL,1,227877.9,81997.80043711032,2,160452.07411644206
2024-08-03,TOTAL,1,226214.6,81064.82736116365,2,158626.44630286124
2024-08-05,TOTAL,1,229541.3,79521.21084459644,2,155605.9205033483
2024-08-06,TOTAL,1,222887.9,78856.44443938548,2,154305.11550674553
2024-08-07,TOTAL,1,236194.6,78243.24039664876,2,153105.2069727458
2024-08-09,TOTAL,1,252828.0,140302.39270131176,2,274541.63151230954
2024-08-10,TOTAL,1,279441.4,140958.64664367575,2,275825.77944845025
2024-08-12,TOTAL,1,257818.0,135561.79047423997,2,265265.2917100233
2024-08-13,TOTAL,1,241184.6,131811.90786778726,2,257927.5772995011
2024-08-15,TOTAL,1,241184.6,118957.86612904423,2,232774.97995217986
2024-08-16,TOTAL,1,242848.0,114808.10058305765,2,224654.7805638905
2024-08-18,TOTAL,1,242848.0,108837.00626439098,2,212970.63217127864
2024-08-19,TOTAL,1,237858.0,106505.56360221542,2,208408.49990876095
2024-08-21,TOTAL,1,234531.3,102638.27605467594,2,200841.04925887048
2024-08-22,TOTAL,1,239521.3,127300.41244600923,2,249099.55028008964
2024-08-24,TOTAL,1,241184.6,128553.96354897364,2,251552.4804002806
2024-08-25,TOTAL,1,227877.9,126527.76819569632,2,247587.65152358662
2024-08-26,TOTAL,1,229541.3,124009.7398945198,2,242660.41126282443
2024-08-28,TOTAL,1,222887.9,118727.27284820331,2,232323.75845610307
2024-08-29,TOTAL,1,224551.3,113676.34668002972,2,222440.18138973965
2024-08-31,TOTAL,1,219561.3,108770.74366566178,2,212840.9705054075
2024-09-01,TOTAL,1,219561.3,106846.59674081109,2,209075.82847292264
2024-09-04,TOTAL,1,222887.9,102188.824107314,2,199961.56838517063
2024-09-06,TOTAL,1,217897.9,136481.36411545504,2,267064.6997093748
2024-09-07,TOTAL,1,214571.2,136037.7452702824,2,266196.63296312495
2024-09-09,TOTAL,1,222887.9,131402.29934226966,2,257126.0614399936
2024-09-10,TOTAL,1,226214.6,128539.89634704505,2,251524.95390915003
2024-09-12,TOTAL,1,214571.2,119809.0899370511,2,234440.64201633184
2024-09-13,TOTAL,1,232868.0,116819.11080776244,2,228589.8954072543
2024-09-14,TOTAL,1,234531.3,114377.2929970266,2,223811.7826986393
2024-09-16,TOTAL,1,237858.0,110427.45059317791,2,216082.78993600208
2024-09-17,TOTAL,1,226214.6,108764.52870227004,2,212828.80915764638
2024-09-19,TOTAL,1,226214.6,105864.20892466998,2,207153.50663201598
2024-09-20,TOTAL,1,226214.6,104580.20822029651,2,204640.9931854912
2024-09-22,TOTAL,1,224551.3,102267.46456263294,2,200115.45085638476
2024-09-23,TOTAL,1,224551.3,101217.31796346161,2,198060.53963846006
2024-09-25,TOTAL,1,222887.9,99290.16026653087,2,194289.50617202994
2024-09-26,TOTAL,1,232868.0,98401.28480546245,2,192550.1679141821
2024-09-28,TOTAL,1,222887.9,96749.78840380283,2,189318.54436294598
2024-09-29,TOTAL,1,222887.9,95979.81525937896,2,187811.87238664675
2024-10-01,TOTAL,1,222887.9,94536.48766008433,2,184987.59044613366
2024-10-02,TOTAL,1,229541.3,93858.22367814629,2,183660.37359250715
2024-10-03,TOTAL,1,224551.3,116733.8827545612,2,228423.12242266024
2024-10-05,TOTAL,1,222887.9,119181.72994378227,2,233213.03332925655
2024-10-08,TOTAL,1,226214.6,114197.44186094418,2,223459.85267536071
2024-10-09,TOTAL,1,219561.3,112236.65929238943,2,219623.02256115212
2024-10-11,TOTAL,1,217897.9,148856.4675408738,2,291280.11770143214
2024-10-14,TOTAL,1,219561.3,142153.5635342924,2,278163.9750155772
2024-10-15,TOTAL,1,219561.3,138737.45268608318,2,271479.3802083392
2024-10-17,TOTAL,1,221224.6,128521.89041718387,2,251489.72017388858
2024-10-18,TOTAL,1,229541.3,125055.66238868407,2,244707.05681501108
2024-10-19,TOTAL,1,232868.0,149724.32224698598,2,292978.32285919384
2024-10-21,TOTAL,1,231204.6,149523.14012093138,2,292584.65267257247
2024-10-22,TOTAL,1,229541.3,146849.4925900416,2,287352.8990218561
2024-10-24,TOTAL,1,226214.6,194782.7948816981,2,381148.07073314406
2024-10-25,TOTAL,1,227877.9,199036.34700913096,2,389471.3581575727
2024-10-28,TOTAL,1,231204.6,184557.3493136793,2,361139.07120623905
2024-10-30,TOTAL,1,247838.0,173779.2134674022,2,340048.57557800197
2024-10-31,TOTAL,1,256154.7,163536.24905959528,2,320005.29544643266
2024-11-02,TOTAL,1,247838.0,153871.0873167748,2,301092.65096036694
2024-11-03,TOTAL,1,251164.7,150159.40618124983,2,293829.6886189488
2024-11-05,TOTAL,1,249501.3,143997.1530524909,2,281771.4835150419
2024-11-06,TOTAL,1,246174.7,141372.39593589242,2,276635.3978985365
2024-11-07,TOTAL,1,246174.7,138978.90116726543,2,271951.8429986999
2024-11-09,TOTAL,1,252828.0,134746.20578472776,2,263669.3677419137
2024-11-10,TOTAL,1,282768.1,132856.10343954657,2,259970.8436356571
2024-11-12,TOTAL,1,266134.7,129436.98483259985,2,253280.36329093756
2024-11-13,TOTAL,1,267798.0,127880.92091967011,2,250235.4806116904
2024-11-15,TOTAL,1,279441.4,150731.35462782998,2,294948.86881710356
2024-11-16,TOTAL,1,266134.7,149886.581980236,2,293295.8302875243
2024-11-18,TOTAL,1,264471.4,145625.31641508426,2,284957.44932309876
2024-11-19,TOTAL,1,264471.4,143137.99398691775,2,280090.2938571207
2024-11-21,TOTAL,1,264471.4,136109.2694066717,2,266336.5903274917
2024-11-22,TOTAL,1,291084.8,133578.31753140705,2,261384.06140951696
2024-11-24,TOTAL,1,294411.5,194647.2087137186,2,380882.757739895
2024-11-25,TOTAL,1,277778.1,194148.5517889483,2,379906.99329956365
2024-11-26,TOTAL,1,279441.4,190933.85726046102,2,373616.52694562566
