date,model_dau
2024-07-19,79368.67293588948
2024-07-20,78856.89424577987
2024-07-21,78363.78735011857
2024-07-22,77888.04490715491
2024-07-23,77428.50069357103
2024-07-24,76984.10891795256
2024-07-25,88107.17699937345
2024-07-26,89256.7072640889
2024-07-27,89093.5932406334
2024-07-28,88365.7432859799
2024-07-29,87392.92778618008
2024-07-30,86333.72638871608
2024-07-31,85269.72950761
2024-08-01,83121.78124944358
2024-08-02,81997.80043711032
2024-08-03,81064.82736116365
2024-08-04,80250.65972668506
2024-08-05,79521.21084459644
2024-08-06,78856.44443938548
2024-08-07,78243.24039664876
2024-08-08,133296.26867077884
2024-08-09,140302.39270131176
2024-08-10,140958.64664367575
2024-08-11,138865.28737191914
2024-08-12,135561.79047423997
2024-08-13,131811.90786778726
2024-08-14,128008.94513715443
2024-08-15,118957.86612904423
2024-08-16,114808.10058305765
2024-08-17,111550.08650983762
2024-08-18,108837.00626439098
2024-08-19,106505.56360221542
2024-08-20,104460.10769476074
2024-08-21,102638.27605467594
2024-08-22,127300.41244600923
2024-08-23,129373.47535415301
2024-08-24,128553.96354897364
2024-08-25,126527.76819569632
2024-08-26,124009.7398945198
2024-08-27,121350.46208143746
2024-08-28,118727.27284820331
2024-08-29,113676.34668002972
2024-08-30,110991.21666190229
2024-08-31,108770.74366566178
2024-09-01,106846.59674081109
2024-09-02,105137.83645501631
2024-09-03,103596.01094847026
2024-09-04,102188.824107314
2024-09-05,133290.14628306753
2024-09-06,136481.36411545504
2024-09-07,136037.7452702824
2024-09-08,134048.04506599816
2024-09-09,131402.29934226966
2024-09-10,128539.89634704505
2024-09-11,125685.3555069075
2024-09-12,119809.0899370511
2024-09-13,116819.11080776244
2024-09-14,114377.2929970266
2024-09-15,112279.16508220133
2024-09-16,110427.45059317791
2024-09-17,108764.52870227004
2024-09-18,107252.38378355074
2024-09-19,105864.20892466998
2024-09-20,104580.20822029651
2024-09-21,103385.2523407377
2024-09-22,102267.46456263294
2024-09-23,101217.31796346161
2024-09-24,100227.03289159882
2024-09-25,99290.16026653087
2024-09-26,98401.28480546245
2024-09-27,97555.808367789
2024-09-28,96749.78840380283
2024-09-29,95979.81525937896
2024-09-30,95242.91747775371
2024-10-01,94536.48766008433
2024-10-02,93858.22367814629
2024-10-03,116733.8827545612
2024-10-04,119295.86557748892
2024-10-05,119181.72994378227
2024-10-06,117914.53115608882
2024-10-07,116145.45478914725
2024-10-08,114197.44186094418
2024-10-09,112236.65929238943
2024-10-10,145825.90034953656
2024-10-11,148856.4675408738
2024-10-12,147941.7431426728
2024-10-13,145381.48585813396
2024-10-14,142153.5635342924
2024-10-15,138737.45268608318
2024-10-16,135374.93126151635
2024-10-17,128521.89041718387
2024-10-18,125055.66238868407
2024-10-19,149724.32224698598
2024-10-20,151051.7508752999
2024-10-21,149523.14012093138
2024-10-22,146849.4925900416
2024-10-23,143746.78750917106
2024-10-24,194782.7948816981
2024-10-25,199036.34700913096
2024-10-26,194574.4230276645
2024-10-27,189910.753430185
2024-10-28,184557.3493136793
2024-10-29,179081.00958754477
2024-10-30,173779.2134674022
2024-10-31,163536.24905959528
2024-11-01,158211.2344702933
2024-11-02,153871.0873167748
2024-11-03,150159.40618124983
2024-11-04,146902.89349235842
2024-11-05,143997.1530524909
2024-11-06,141372.39593589242
2024-11-07,138978.90116726543
2024-11-08,136779.65753839174
2024-11-09,134746.20578472776
2024-11-10,132856.10343954657
2024-11-11,131091.2898300198
2024-11-12,129436.98483259985
2024-11-13,127880.92091967011
2024-11-14,149051.06940157345
2024-11-15,150731.35462782998
2024-11-16,149886.581980236
2024-11-17,147977.16522109183
2024-11-18,145625.31641508426
2024-11-19,143137.99398691775
2024-11-20,140671.79242544045
2024-11-21,136109.2694066717
2024-11-22,133578.31753140705
2024-11-23,188756.9849761898
2024-11-24,194647.2087137186
2024-11-25,194148.5517889483
2024-11-26,190933.85726046102
2024-11-27,186565.5117364059
2024-11-28,181813.86694365132
2024-11-29,177072.03831536463
2024-11-30,166978.07844295708
2024-12-01,161982.3316993375
2024-12-02,157947.7652496236
2024-12-03,154512.34160488518
2024-12-04,151503.91794871556
2024-12-05,148820.66999921645
2024-12-06,146395.55992450414
2024-12-07,144181.44180066767
2024-12-08,142143.60856321242
2024-12-09,140255.62648525348
2024-12-10,138496.82170587734
2024-12-11,136850.6751059051
2024-12-12,172226.6510321889
2024-12-13,175773.75105503233
2024-12-14,175164.4256659215
2024-12-15,172783.31863955085
2024-12-16,169647.74538149833
2024-12-17,166260.63166410773
2024-12-18,162879.4639573436
2024-12-19,156052.6080487372
2024-12-20,152514.37172348017
2024-12-21,149600.67776304705
2024-12-22,147079.02414242094
2024-12-23,144838.95598932786
2024-12-24,142815.11918997735
2024-12-25,140964.43009718304
2024-12-26,180251.76507528304
2024-12-27,184222.22623989778
2024-12-28,183593.50658938749
2024-12-29,181008.50930032658
2024-12-30,177593.3857639783
2024-12-31,173904.10651017787
2025-01-01,170224.78934944706
2025-01-02,162721.80744197068
2025-01-03,158871.25253029304
2025-01-04,155714.50040191598
2025-01-05,152992.870722511
2025-01-06,150583.32782199932
2025-01-07,148413.01407109026
2025-01-08,146433.87679724203
2025-01-09,209627.99741500488
2025-01-10,216753.1245884956
2025-01-11,216533.72136047372
2025-01-12,213167.62421089364
2025-01-13,208445.95184439057
2025-01-14,203254.6286054094
2025-01-15,198047.73515803862
2025-01-16,186748.31507302733
2025-01-17,181215.50452465075
2025-01-18,176759.27038927577
2025-01-19,172971.24392400286
2025-01-20,169657.94826750347
2025-01-21,166705.29242155695
2025-01-22,164038.36187038347
2025-01-23,214558.04132394146
2025-01-24,219498.0784010428
2025-01-25,218529.2126479189
2025-01-26,215059.7310314399
2025-01-27,210539.93854620645
2025-01-28,205684.52323971357
