D1,D7,D30,D180,h,p,dm,collab,wal,story,season
0.4823564287663687,0.2396699577880611,0.10278052528335871,0.03400848240537775,2.1044328434105584,0.03131021523016584,0.45722243925429895,804841.4937501195,271638.0001998438,173180.8102521732,154238.55012326958
0.41896809961245346,0.2219646077464537,0.10820799564813145,0.03691232135931129,2.223575523556686,0.023002874766129774,0.46334501175983417,801570.7681724831,259770.61340545482,155482.60117431087,118696.73590167367
0.42072835187670626,0.2124168722971428,0.0964211882394515,0.030849090725233706,2.343364012484646,0.021916235519522428,0.4309600612707519,949867.9864160584,262426.58728418575,185865.9193985474,132359.4624777753
0.4166861508086791,0.2088684898414748,0.0940711117924228,0.029888769399366407,2.108496058499982,0.02134817590659005,0.4226063467108731,802466.8306157566,296734.3549406424,218161.10892395637,168292.67944851314
0.4310582229775336,0.2552948703165412,0.1378651630562425,0.03782621149467147,2.054802985695703,0.04153120810131453,0.45388987038298917,711370.9374806718,293817.64242706425,160381.37969388385,145196.23676898459
0.43323214956162664,0.21426244398203645,0.09350310177596069,0.02918263415556695,2.1804148682469147,0.02239191618197593,0.42135524547536934,957686.542750031,269151.7236666711,205735.11304206753,143498.76284426436
0.43449851657523547,0.2262568201947258,0.10567636907290398,0.032812970699535954,2.2367571719366928,0.020295759071004442,0.4399544510076279,840924.1194877889,298630.8238338369,165392.7308915273,152844.23637608203
0.42184600738059624,0.22342877528226435,0.10909450095143604,0.03814910206225063,2.191025255273858,0.025082035498834008,0.4764781781409185,784885.9432464903,285111.87055830087,165934.63722997645,131982.83134503957
0.43507078947838435,0.2272274927600523,0.10734049828392297,0.035435054220708674,2.052430870168889,0.024818773386221342,0.45726226179056595,906781.8686989755,266744.72519503394,186089.24007600255,148981.11944251013
0.4194025419087987,0.21886809381758887,0.10426521481675778,0.03456270002525538,2.225954655857249,0.02216722097470309,0.4531602836546577,800872.4366775582,234669.8567881732,162022.9437095717,153540.593015303
0.4301861908365499,0.22579213523446245,0.10735775432321802,0.03465852113811783,2.1004397583372394,0.020884896489935183,0.455309493490447,814608.5967598616,264889.8517398661,197113.8986673028,135519.058024166
0.430627011125756,0.2099638543586198,0.09066585311662856,0.029756704101604886,2.322001597446004,0.024680377930273903,0.438481782590385,833400.6589050806,248025.29112851157,179999.66210276049,142202.27354689167
0.42955113309199794,0.21727494406679934,0.09824899948558179,0.03125056987099466,2.4531614348375292,0.02240263810310302,0.4335318377880444,674422.76142657,256696.1086129464,167717.66259934803,116906.4942462104
0.4214469026113425,0.22595889086208681,0.11168950551616698,0.03823774802641121,2.205693877348961,0.02273449015194886,0.47139077184423356,704530.2643038458,272384.0582277795,161582.15251545122,123183.26518040575
0.41960923354975616,0.21798700816042532,0.1034276188875919,0.03472442842770715,2.355636138739099,0.023205521448591334,0.4583383684170464,691525.1533827871,223797.79473057418,189437.35454610293,131898.11124433423
0.5250088220463158,0.27490806492152475,0.1398171829897528,0.044600355949990046,2.110626427404727,0.12849292804188842,0.4544258764198368,875425.2108794656,268448.50312000595,152528.71393274138,137292.73640416312
0.42777652009343126,0.22524044897012924,0.10831221509113566,0.03661118117607727,2.3283579992290337,0.02410648035311393,0.46717936319517256,756431.5170288134,232134.43078115376,136905.2570341361,149783.49171098357
0.41475098177163344,0.2258571869512019,0.11442163053343277,0.039971885468007395,2.3349091804663953,0.02156476454697709,0.4800646872117185,706066.7632873796,232357.67460715777,153873.68270835024,119920.43302508262
0.41324155391958467,0.2207899941051388,0.10911041871501032,0.03736012538184743,2.30155924772795,0.021889493659258383,0.4633250576748546,638425.0402571863,266949.13766925223,138246.3411483822,156011.68207253344
